Warehouse,Customer Name,Customer Code,SKU Name,SKU Code,UOM - Sale,Pack Size,SKU Item Selling Price,ASP,FG Dispatch Qty,FG Qty Sold,Revenue,IN-take Cost / Packet ABP,In-take Margin (IM)% - WO FM,FM,FM%,In-take Margin (IM)% - With FM,PPL,DC Dump,RTV Dump,Stock Loss Dump,Transit/damage Loss,Production PPL%,Stock Adjustment %,DC Dump%,RTV Dump %,Stock Loss Dump %,Transit/damage Loss %,Total Production PPL% & Dump%,PM%,Labour / Packet,Transport / Packet,Packaging / Packet,Labelling / Packet,Utility / Packet,Consumables / Packet,Ops Cost / Packet,Ops Cost / Packet - Supply Net Of RTV,Ops Cost %,OM%,Report Date
Mumbai,Amazon - Mumbai,AZM,Lemon 200 gms,,pack,200,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,,2025-04-29
Mumbai,Amazon - Mumbai,AZM,Radish White without Leaf (500 gms),,pack,500 gms,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,,2025-04-29
Mumbai,Amazon - Mumbai,AZM,Ridge Gourd [Turai],,pack,0.5KG,66.0,66.0,7,7,462.0,40.0,39.4,0.0,0.0,39.4,3.4,0.0,0.0,0.0,0.0,5.2,,0.0,0.0,0.0,0.0,5.2,34.2,2.0,2.0,2.6,0,0.8,0,7.4,7.4,11.212121212121213,22.987878787878792,2025-04-29
Mumbai,Amazon - Mumbai,AZM,Beans Haricot,,pack,0.5KG,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,,2025-04-29
Mumbai,Amazon - Mumbai,AZM,Cucumber European,,pack,0.5KG,24.0,24.0,104,104,2496.0,16.5,31.3,1153.5,46.2,-15.0,0.7,118.9,0.0,76.9,0.0,2.9,,4.8,0.0,3.1,0.0,10.8,-25.7,2.0,2.0,2.6,0,0.8,0,7.4,7.4,30.833333333333336,-56.53333333333333,2025-04-29
Mumbai,Amazon - Mumbai,AZM,"Pluckk Fresh Premium Onion, 1Kg",,pack,1 kg,22.0,22.0,93,93,2046.0,15.0,31.8,1996.2,97.6,-65.7,0.4,0.0,0.0,12.0,0.0,1.8,,0.0,0.0,0.6,0.0,2.4,-68.2,2.0,2.0,2.6,0,0.8,0,7.4,7.4,33.63636363636363,-101.83636363636364,2025-04-29
Mumbai,Amazon - Mumbai,AZM,Tomato Country,,pack,1KG,21.0,21.0,27,27,567.0,16.0,23.8,729.1,128.6,-104.8,0.8,0.0,0.0,316.0,296.0,3.8,,0.0,0.0,55.7,52.2,111.7,-216.5,2.0,4.0,3.0,0,0.8,0,9.8,9.8,46.666666666666664,-263.1666666666667,2025-04-29
Mumbai,Amazon - Mumbai,AZM,Tomato Hybrid,,pack,1KG,21.0,21.0,68,68,1428.0,16.0,23.8,1499.2,105.0,-81.2,0.5,0.0,0.0,0.0,0.0,2.4,,0.0,0.0,0.0,0.0,2.4,-83.6,2.0,2.0,2.6,0,0.8,0,7.4,7.4,35.23809523809524,-118.83809523809524,2025-04-29
Mumbai,Amazon - Mumbai,AZM,"Pluckk Fresh Ozone Washed Premium Capsicum Green, 500g",,pack,500 gms,27.0,27.0,10,10,270.0,15.0,44.4,130.1,48.2,-3.7,0.9,0.0,0.0,60.0,0.0,3.3,,0.0,0.0,22.2,0.0,25.6,-29.3,1.0,4.0,3.0,0,0.8,0,8.8,8.8,32.592592592592595,-61.89259259259259,2025-04-29
Mumbai,Amazon - Mumbai,AZM,Pineapple (Bulk),,pack,1 kg,130.0,130.0,5,5,650.0,38.8,70.2,0.0,0.0,70.2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,70.2,2.0,2.0,2.6,0,0.8,0,7.4,7.4,5.6923076923076925,64.50769230769231,2025-04-29
